Word,Count
\name="\configFilename"\>\,1
forward,1
\name="\directory1"\>\,1
\file="\SourceMappingInfo.cs"\\,1
Specifies,1
FileSystemWatcherChanged(object,1
create,1
Parameter,1
tape,1
\name="\configurationObject"\>\,1
containing,1
\mailslot,\,1
\name="\argc"\>\,1
\file="\FileComparator.cs"\\,1
String,1
\file="\Listener.cs"\\,1
user,1
logging,1
\name="\hObject"\>\,1
code,1
\file="\LogQueueItem.cs"\\,1
\name="\step"\>\,1
framework,1
this.FileSystemWatcherRenamed;,1
\volume,\,1
optional,1
\file="\UpdateProgressEventArgs.cs"\\,1
e.Name));,1
\file="\DirectoryVolumeComparator.cs"\\,1
overflows,1
http://pinvoke.net/default.aspx/kernel32.GetFileInformationByHandle,1
mail,1
path,1
\name="\lpFileName"\>\,1
receives,1
threads,1
total,1
\name="\changeType"\></param>\,1
Serialize,1
Status,1
load,1
\file="\FileLogger.cs"\\,1
BiOWheelsProgram,1
like,1
menu,1
Display,1
KB,1
\file="\BiOWheelsConfigManagerTest.cs"\\,1
full,1
inside,1
saved</param>,1
Minimum,1
Helper,1
added,1
:,1
\name="\exceptionMessage"\>\,1
CTRL+C,1
ThreadTestHelper,1
every,1
\cref="\ObjectChangedHandler"\/>\,1
affected,1
\file="\ThreadTestHelper.cs"\\,1
commonly,1
\file="\IFileWatcher.cs"\\,1
Text,1
flags,1
\name="\hFile"\>\,1
\name="\argv"\>\,1
named,1
RenamedEventArgs,1
this.FileSystemWatcherCreated;,1
Copies,1
Using,1
\file="\DirectoryMapping.cs"\\,1
\file="\IVisualizer.cs"\\,1
deactivate,1
Renames,1
trigger,1
neither,1
\name="\totalTimeout"\>\,1
\these,\,1
\pipe,\,1
continued,1
slashes,1
Double,1
\cref="\ItemFinalizedHandler"\/>\,1
disc,1
supplies,1
\file="\ILogger.cs"\\,1
delivering,1
\file="\ICommandLineArgsParser.cs"\\,1
\name="\filename"\>\,1
\file="\NetworkAgent.cs"\\,1
mode,1
(refer,1
\file="\IQueueManager.cs"\\,1
how,1
Logs,1
\name="\path"\>\,1
no,1
http://pinvoke.net/default.aspx/kernel32.CloseHandle,1
\file="\WriterStatus.cs"\\,1
\deleted."\));\,1
internal,1
(Inherited,1
serialize,1
\file="\Configuration.cs"\\,1
\cref="\ObjectCreatedHandler"\/>\,1
\name="\mappingInfo"\>\,1
array,1
\file="\BlockCompareOptions.cs"\\,1
\resource,\,1
summarized,1
but,1
placed,1
Default,1
\cref="\IFileWatcher"\/>\,1
determines,1
Converts,1
action,1
manager,1
entered,1
depth,1
\file="\FileWatcher.cs"\\,1
threaded,1
for</returns>,1
Scan,1
Finalize,1
exists,1
Attach,1
color,1
\cref="\BY_HANDLE_FILE_INFORMATION"\/>\,1
\file="\SimpleContainer.cs"\\,1
logged,1
BiOWheelsConfigurationManager,1
separate,1
inputs,1
\name="\o"\>\,1
http://msdn.microsoft.com/en-us/library/windows/desktop/aa364952%28v=vs.85%29.aspx,1
\name="\blockSizeInKB"\>\,1
properties,1
retries,1
Instance,1
empty,1
Resolve,1
\drive,\,1
combination,1
Dispose,1
nonzero,1
actual,1
to:,1
Representing,1
FileLogger,1
disposed,1
\"\\,1
changes,1
snippets,1
start,1
it,1
watching,1
security,1
\name="\name"\></param>\,1
info,1
Handles,1
\name="\directoryName"\>Directory\,1
human,1
better,1
\file="\FileAction.cs"\\,1
Enumerate,1
sample,1
last,1
FileManager,1
FileAction.DELETE);,1
\directory,\,1
\name="\loadConfig"\>\,1
\cref="\ProgressUpdateHandler"\/>\,1
fileSystemWatcher.Renamed,1
\name="\dwShareMode"\>\,1
deleting,1
\file="\FileWatcherTest.cs"\\,1
copied,1
itself,1
LoaderException,1
contained,1
(\),1
free,1
ParallelSync,1
\name="\logFileSize"\>\,1
writer,1
update,1
\cref="\BiOWheelsVisualizer"\/>\,1
\name="\TImplementation"\>Class\,1
\name="\instance"\>\,1
\name="\TContract"\>\,1
ob,1
this.MustCompareFileInBlocks(e.FullPath),1
Retrieves,1
starts,1
\cref="\ObjectRenamedHandler"\/>\,1
requests,1
\file="\DirectoryMappingInfo.cs"\\,1
\file="\StringHelper.cs"\\,1
easter,1
Compare,1
\name="\directory"\>Specifies\,1
\stream,\,1
unnecessary,1
\cref="\ObjectDeletedHandler"\/>\,1
\name="\condition"\>\,1
input,1
\name="\TImplementation"\>\,1
none,1
extract,1
Add,1
created</param>,1
related,1
Line,1
messageType,1
synced,1
\file="\ConfigurationManager.cs"\\,1
\file="\StringHelperTest.cs"\\,1
BiOWheelsLogger,1
\name="\count"\>Indicates\,1
next,1
LogQueueItem,1
Time,1
name</param>,1
\name="\streamToWrite"\>\,1
monitor,1
options',1
both,1
First,1
FileSystemWatcherRenamed(object,1
sharing,1
comparator,1
\file="\BiOWheelsFileSystemWatcher.cs"\\,1
fileSystemWatcher.Deleted,1
state,1
monitoring,1
this.AddQueueItem(,1
INVALID_HANDLE_VALUE,1
Closes,1
opens,1
fileSystemWatcher.Changed,1
readable,1
\file="\IContainer.cs"\\,1
\file="\CommandLineArgsParser.cs"\\,1
Name,1
SECURITY_ATTRIBUTES,1
AssertHelper,1
finalize,1
Close,1
\name="\destinations"\>\,1
follows:,1
names</returns>,1
\name="\mappings"\>\,1
\file="\MappingNullException.cs"\\,1
\file="\CaughtExceptionEventArgs.cs"\\,1
subdirectories,1
Refer,1
\name="\dwFlagsAndAttributes"\>\,1
\created."\));\,1
keyboard,1
ToLogFileString,1
Listen,1
Access,1
\name="\fileComparator"\>\,1
Distribute,1
\name="\blockCompareFileSizeInMB"\>\,1
renaming,1
updates,1
depending,1
Second,1
\file="\LoaderException.cs"\\,1
window,1
supported,1
till,1
\name="\directory"\></param>\,1
\buffer,\,1
assign,1
Action,1
continue,1
notifications,1
running,1
Deletes,1
\file="\MappingInvalidException.cs"\\,1
..,1
not</returns>,1
component,1
may,1
members:,1
inherited,1
UpdateProgressEventArgs(,1
them,1
An,1
\file="\FileLoggerTest.cs"\\,1
opened,1
processed,1
elements,1
\cref="\CustomFileSystemEventArgs"\/>\,1
\watcher.Destinations,\,1
here,1
unable,1
don't,1
overriding,1
\delete,\,1
more,1
Constant,1
\"\Added\,1
\file="\LogFileOptions.cs"\\,1
comparison,1
takes,1
returned,1
(/),1
fileSystemWatcher.Created,1
parameters,1
\cref="\DirectoryMappingInfo"\/>\,1
GENERIC_READ,1
