File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\CustomEventArgs\CustomFileSystemEventArgs.cs,28,13,5,0,6,0,9,44,0,0
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\CustomEventArgs\ItemFinalizedEventArgs.cs,19,8,3,0,1,1,10,28,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\CustomEventArgs\UpdateProgressEventArgs.cs,34,13,6,0,2,1,19,68,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\CustomExceptions\MappingInvalidException.cs,19,8,3,0,1,1,10,28,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\CustomExceptions\MappingNullException.cs,19,8,3,0,1,1,10,28,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher.Test\FileComparatorTest.cs,150,78,43,3,23,1,49,174,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher.Test\FileWatcherTest.cs,224,128,78,4,37,1,59,210,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher.Test\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsListener\Listener.cs,17,7,2,0,0,1,10,28,0,1
